age,sex,education_level,education_years,potential_experience,field_of_study,annual_wage,weeks_worked,hours_worked,hourly_wage
59,Male,MA,18,35,Health,183872.61158600493,49,40,93.81255693163517
57,Female,BA,16,35,STEM (other),194661.6724498941,44,36,122.89246998099375
29,Female,BA,16,7,Business,135713.07595993925,43,40,78.90295113949956
63,Female,BA,16,41,Humanities,127381.17756256655,48,40,66.34436331383674
52,Male,Prof,19,27,Humanities,167967.19038380185,47,39,91.63512841451274
31,Male,BA,16,9,Education,96494.12935080989,50,34,56.76125255929993
33,Female,BA,16,11,STEM (other),186931.00313077815,46,42,96.75517760392243
32,Male,BA,16,10,Social Sciences,132671.0437358826,47,41,68.84849181934747
36,Female,MA,18,12,Engineering,189051.56004743953,44,39,110.16990678755218
58,Male,MA,18,34,Education,117608.25219045795,43,36,75.97432312045088
57,Female,BA,16,35,Education,130800.17776135185,46,48,59.239210942641236
47,Male,MA,18,23,Health,245782.12410461882,40,48,128.01152297115564
48,Female,PhD,20,22,Business,231170.07452033286,45,48,107.02318264830225
61,Female,BA,16,39,Social Sciences,193931.33670329102,47,41,100.63899154296368
59,Male,BA,16,37,Business,302112.13642355235,46,49,134.03377836004984
64,Female,BA,16,42,Social Sciences,211754.27913982366,41,44,117.38042080921488
46,Female,MA,18,22,Health,190526.67715620383,46,34,121.82012605895386
51,Female,BA,16,29,Education,124505.26074091348,45,43,64.34380400047208
59,Female,MA,18,35,Business,97629.5137026191,44,41,54.118355710986194
25,Male,MA,18,1,Social Sciences,96653.19323553382,43,40,56.193716997403385
59,Male,BA,16,37,Business,161263.709509014,40,34,118.57625699192207
61,Male,Prof,19,36,Business,255125.2444625417,41,45,138.27926529135053
38,Male,BA,16,16,Humanities,111327.1487844594,46,47,51.49266826293219
27,Male,BA,16,5,STEM (other),105755.43413090694,49,41,52.64083331553357
25,Female,MA,18,1,Social Sciences,59610.10113643019,42,34,41.74376830282226
29,Male,MA,18,5,Humanities,76344.37631255739,44,45,38.55776581442292
50,Male,BA,16,28,Humanities,158355.10849669008,47,41,82.17701530705246
38,Male,Prof,19,13,Humanities,231740.22172633195,47,31,159.05300049851198
63,Female,Prof,19,38,Business,218456.54278399012,45,35,138.70256684697785
51,Female,BA,16,29,STEM (other),205611.41307183277,44,33,141.60565638555977
33,Male,PhD,20,7,Social Sciences,196092.82971525713,41,42,113.87504629225153
39,Female,BA,16,17,Business,119770.39562472265,48,39,63.97991219269372
39,Male,BA,16,17,Engineering,188460.59388077768,40,46,102.42423580477048
50,Female,BA,16,28,Social Sciences,127701.77837276335,50,43,59.39617598733179
37,Female,Prof,19,12,Engineering,248462.53077169723,41,44,137.7286755940672
56,Male,MA,18,32,Business,219920.39399723551,40,37,148.5948608089429
63,Female,BA,16,41,Business,189271.07849409367,51,47,78.96165143683507
56,Female,BA,16,34,Humanities,110372.95619049603,43,32,80.21290420820932
28,Male,MA,18,4,Humanities,120874.69480643858,43,46,61.109552480504846
54,Female,BA,16,32,Business,334708.02927146805,44,36,211.3055740350177
61,Male,Prof,19,36,Humanities,130617.23975620794,44,42,70.68032454340256
47,Male,MA,18,23,Humanities,138783.7572768015,47,45,65.61879776680922
63,Male,BA,16,41,Humanities,144477.95903208846,50,34,84.98703472475792
39,Male,PhD,20,13,Engineering,269553.41864856647,50,33,163.36570827185847
53,Male,BA,16,31,Education,123690.29686181151,42,39,75.51300174713768
60,Female,PhD,20,34,STEM (other),110911.83805549944,45,42,58.68351219867695
37,Male,MA,18,13,Education,202067.45337667022,51,39,101.59248535780303
56,Male,MA,18,32,Business,264012.5280864024,51,43,120.38874969740192
31,Male,BA,16,9,Social Sciences,67407.78137162019,42,41,39.145053061335766
46,Female,Prof,19,21,Health,164905.74751131225,41,30,134.0697134238311
52,Female,BA,16,30,Social Sciences,257932.89388695057,47,49,111.99865127527163
26,Female,BA,16,4,Engineering,182542.61389412775,40,49,93.13398668067742
30,Female,BA,16,8,Business,161650.5211038793,48,36,93.54775526844867
52,Female,BA,16,30,Humanities,131553.1550466849,50,38,69.23850265614995
52,Female,BA,16,30,Humanities,142186.69486788494,46,37,83.54094880604286
44,Female,MA,18,20,Engineering,200932.08783098854,51,42,93.8058299864559
54,Male,Prof,19,29,STEM (other),332326.0801393753,49,43,157.72476513496693
35,Male,BA,16,13,Business,107564.64321465923,51,41,51.44172320165434
52,Female,MA,18,28,Education,132967.51158068408,50,37,71.87433058415355
49,Male,BA,16,27,Humanities,184551.23050832757,43,47,91.316788969979
63,Male,Prof,19,38,Humanities,172869.38068218116,42,45,91.46528078422284
57,Female,MA,18,33,STEM (other),334415.7327007733,45,40,185.78651816709626
25,Female,BA,16,3,Business,84385.11799016414,48,45,39.06718425470562
51,Male,MA,18,27,Humanities,157340.33733970046,48,43,76.23078359481612
37,Female,BA,16,15,Engineering,122795.55593019693,43,32,89.24095634461986
27,Female,BA,16,5,Education,90872.14562393338,49,31,59.82366400522277
63,Female,MA,18,39,Education,108427.37997620773,44,32,77.00808236946571
30,Female,BA,16,8,Education,86276.27910083072,50,33,52.28865400050347
32,Female,BA,16,10,Business,84046.36085539263,48,34,51.49899562217686
51,Male,BA,16,29,Humanities,170003.9532132102,41,39,106.31892008330844
33,Male,MA,18,9,Business,182841.84111339733,41,49,91.01136939442375
61,Male,BA,16,39,Engineering,115649.71240137232,44,31,84.78717917989174
57,Female,BA,16,35,Education,218636.48059078923,40,41,133.31492718950562
48,Female,MA,18,24,Social Sciences,382171.4228804183,47,34,239.15608440576867
39,Female,MA,18,15,Humanities,135781.4539624642,44,34,90.76300398560441
56,Male,BA,16,34,Social Sciences,133795.22279058342,51,30,87.44785803306105
56,Female,BA,16,34,Business,418193.355408585,49,33,258.62297798923004
48,Male,BA,16,26,Humanities,91008.61492369318,41,41,54.13956866370802
36,Male,BA,16,14,Social Sciences,130409.12983041302,51,41,62.366872228796275
63,Male,BA,16,41,Business,182642.6301419465,48,45,84.55677321386412
26,Male,MA,18,2,Education,143077.8670883951,41,46,75.86313207231979
27,Female,MA,18,3,Social Sciences,122090.96889483978,46,39,68.05516660804894
61,Male,MA,18,37,Health,170930.0745790229,47,46,79.06108907447869
41,Male,BA,16,19,Social Sciences,107801.26681122866,45,46,52.07790667209114
26,Female,MA,18,2,Humanities,82047.48581384083,50,47,34.913823750570565
26,Male,BA,16,4,Humanities,61594.12623926136,46,31,43.19363691392802
52,Male,PhD,20,26,Education,198540.34263897824,50,33,120.32748038725954
47,Male,MA,18,23,Engineering,184119.65903045345,40,48,95.89565574502784
61,Male,BA,16,39,Humanities,87482.02844173,43,40,50.86164444286628
56,Male,MA,18,32,Education,250732.95727428564,46,46,118.49383614096675
57,Male,BA,16,35,Education,126209.46710699105,40,41,76.95699213840918
25,Female,MA,18,1,Social Sciences,69491.44694967504,40,31,56.04148947554439
43,Male,BA,16,21,Humanities,121166.66331836343,50,35,69.2380933247791
26,Male,BA,16,4,Education,89403.17452776618,45,38,52.282558203372034
50,Female,Prof,19,25,Engineering,143065.80558757627,43,34,97.85622817207678
56,Male,BA,16,34,Social Sciences,179134.87633043772,42,49,87.04318577766654
30,Female,MA,18,6,Humanities,76439.33734747134,51,38,39.44238253223496
56,Male,BA,16,34,Engineering,330945.3856658729,44,37,203.28340642866885
28,Male,MA,18,4,STEM (other),154444.2013262785,48,49,65.66505158430209
35,Female,MA,18,11,Education,113258.716012569,49,37,62.47033425955267
41,Male,BA,16,19,Health,120553.59067084399,49,35,70.29363887512768
62,Male,BA,16,40,Business,169144.6741461026,51,32,103.64256994246483
48,Female,BA,16,26,Business,208613.225852462,51,34,120.30751202564129
29,Male,BA,16,7,STEM (other),123371.05017419046,50,38,64.93213167062656
58,Female,BA,16,36,Business,167251.23428755577,49,36,94.81362487956676
30,Female,MA,18,6,Humanities,106501.1526678524,42,33,76.84065849051399
46,Male,Prof,19,21,Social Sciences,157037.87866753072,44,36,99.14007491637041
35,Female,Prof,19,10,Engineering,163904.33639493005,49,34,98.38195461880555
40,Male,MA,18,16,Engineering,103845.78782809277,44,40,59.00328853868907
57,Female,MA,18,33,Social Sciences,254923.2680513693,48,44,120.702304948565
33,Female,MA,18,9,STEM (other),169573.092000696,50,31,109.4019948391587
30,Female,BA,16,8,Social Sciences,87514.80401606862,51,42,40.85658450796854
40,Male,Prof,19,15,Social Sciences,297931.9829813255,49,45,135.1165455697621
53,Female,MA,18,29,Business,213524.09109078607,50,36,118.6244950504367
27,Male,BA,16,5,Social Sciences,73435.07256993311,43,37,46.15655095533194
44,Male,BA,16,22,Social Sciences,194195.6094986964,40,35,138.711149641926
60,Female,BA,16,38,Humanities,155284.54155763652,49,36,88.02978546351277
43,Male,BA,16,21,Social Sciences,166670.4845285687,44,47,80.59501186101001
50,Female,Prof,19,25,Social Sciences,174080.53546303645,40,49,88.816599726039
27,Male,BA,16,5,Engineering,140105.18166746502,45,36,86.48468004164508
43,Female,BA,16,21,STEM (other),159033.8756534435,51,32,97.44722772882568
44,Male,PhD,20,18,Business,253313.32380476955,49,34,152.0488138083851
56,Male,BA,16,34,Engineering,111850.30164627044,49,30,76.08864057569417
31,Male,BA,16,9,Education,90331.17890112217,46,44,44.630029101344945
57,Female,BA,16,35,Health,285399.8702336681,40,32,222.9686486200532
64,Male,MA,18,40,Social Sciences,147248.91946374424,49,37,81.21837808259473
63,Female,Prof,19,38,Social Sciences,169812.2188897911,43,38,103.92424656657963
42,Male,BA,16,20,Humanities,109711.73328396399,48,44,51.946843410967794
64,Male,Prof,19,39,Business,155275.79839596432,40,39,99.53576820254123
25,Male,BA,16,3,Humanities,41444.719878580545,48,31,27.852634327003056
35,Male,Prof,19,10,Health,145921.49935536672,47,49,63.36148473962949
52,Female,MA,18,28,Social Sciences,194922.59835297274,44,34,130.2958545140192
49,Female,MA,18,25,Social Sciences,179736.73563239194,45,48,83.21145168166294
47,Male,BA,16,25,Business,164643.27313299009,46,42,85.21908547256216
55,Female,PhD,20,29,Humanities,192588.72993801362,43,40,111.97019182442652
54,Female,MA,18,30,Social Sciences,257005.41699717188,45,30,190.37438296086805
59,Male,BA,16,37,Business,167957.4822015763,46,44,82.98294575176695
31,Male,MA,18,7,Health,111121.02780314733,50,47,47.28554374602014
40,Male,BA,16,18,STEM (other),150431.38634545557,45,45,74.28710436812621
50,Male,Prof,19,25,Social Sciences,235344.11187501153,50,38,123.86532203947975
26,Male,BA,16,4,STEM (other),171786.56147589194,51,30,112.27879835025617
25,Male,MA,18,1,Business,93056.0127296996,45,40,51.69778484983311
36,Female,BA,16,14,Engineering,163093.69589901363,41,38,104.68144794545162
29,Male,BA,16,7,Business,130889.30337844416,44,40,74.368922374116
61,Male,BA,16,39,Social Sciences,118140.11307422601,42,42,66.97285321668141
56,Male,BA,16,34,Business,180326.6396651721,46,31,126.4562690499103
33,Male,BA,16,11,Engineering,94626.97314652443,43,43,51.177378662263074
59,Male,BA,16,37,STEM (other),109961.42581646962,40,35,78.54387558319259
43,Female,BA,16,21,Humanities,142261.74612136112,51,37,75.39043249674675
40,Male,BA,16,18,Education,113599.86280894987,51,47,47.3925168164163
27,Female,BA,16,5,Business,117675.26547710247,45,45,58.111242210914796
44,Male,MA,18,20,Engineering,207862.38037544105,45,41,112.66253678885694
48,Female,BA,16,26,Engineering,143125.90628614475,46,40,77.78581863377431
57,Female,Prof,19,32,Education,183877.2527596419,50,35,105.07271586265252
48,Male,Prof,19,23,STEM (other),155230.99991339294,47,32,103.2121010062453
35,Female,MA,18,11,Social Sciences,214205.6271945867,42,43,118.60776699589519
32,Male,BA,16,10,Engineering,95149.90711630089,45,31,68.20781872136264
60,Female,Prof,19,35,Social Sciences,194126.33136398465,49,40,99.04404661427787
62,Male,BA,16,40,Business,127684.61072323952,41,32,97.32058744149353
64,Female,BA,16,42,Social Sciences,184006.49815149096,48,47,81.56316407424245
44,Female,BA,16,22,Health,142938.62032713377,41,30,116.21026042856404
59,Female,MA,18,35,Education,147178.28942997238,42,30,116.80816621426379
49,Male,BA,16,27,Engineering,249836.120404299,51,41,119.4816453392152
59,Male,BA,16,37,Engineering,198278.75587001996,49,44,91.96602776902596
49,Female,PhD,20,23,STEM (other),284245.42991299485,51,34,163.92470006516427
53,Female,Prof,19,28,Business,166908.69728460108,51,35,93.50627298857204
42,Female,BA,16,20,Engineering,116839.31769378926,41,45,63.32754346546843
42,Male,BA,16,20,Business,166402.09353197066,48,41,84.55390931502575
26,Female,MA,18,2,Engineering,117236.213036439,40,41,71.48549575392622
59,Male,BA,16,37,Social Sciences,194177.97254070797,44,32,137.91049186129828
40,Male,BA,16,18,Humanities,118376.73227843424,40,31,95.46510667615665
60,Male,BA,16,38,Business,188174.04818835307,44,36,118.79674759365724
57,Male,Prof,19,32,Social Sciences,126574.36006114015,47,31,86.87327389234052
28,Female,MA,18,4,Education,181122.89937175767,47,36,107.04663083437214
57,Male,MA,18,33,Social Sciences,181194.69669777594,50,40,90.59734834888798
38,Female,Prof,19,13,Humanities,170736.39410104373,47,40,90.81723090481049
45,Female,BA,16,23,Humanities,101902.57603636444,41,43,57.800667065436436
44,Male,BA,16,22,Engineering,201189.58886501752,47,32,133.76967344748505
32,Male,BA,16,10,Humanities,68128.20460568028,51,43,31.066212770488043
31,Female,BA,16,9,Social Sciences,130225.17565599916,44,40,73.99157707727225
27,Male,BA,16,5,STEM (other),104632.32054221952,40,33,79.26690950168145
41,Female,MA,18,17,Social Sciences,163629.03307354433,46,46,77.3294107152856
57,Female,MA,18,33,STEM (other),272663.08988212794,45,45,134.64843944796442
36,Male,Prof,19,11,Humanities,90911.14742944358,44,32,64.56757629932072
46,Male,BA,16,24,Business,138559.13497537732,40,39,88.81995831754956
46,Male,MA,18,22,Social Sciences,202156.47077488736,40,44,114.86163112209509
54,Female,MA,18,30,STEM (other),412283.47685983713,45,37,247.617703819722
62,Male,BA,16,40,Humanities,130427.8265635302,49,47,56.63388040101181
62,Male,MA,18,38,Engineering,274015.7417540877,51,32,167.90180254539686
32,Male,BA,16,10,Education,102529.7786767578,46,36,61.91411755842863
51,Female,BA,16,29,Business,317449.38853738067,49,39,166.11689614724264
51,Male,BA,16,29,Engineering,115987.0121864804,49,49,48.30779349707638
58,Male,BA,16,36,Social Sciences,166173.26921180947,40,38,109.3245192182957
45,Female,BA,16,23,Business,103252.91985919696,48,43,50.0256394666652
54,Female,MA,18,30,Humanities,76728.50252640256,43,43,41.497297201948385
57,Female,PhD,20,31,Business,269046.26050482155,44,40,152.8671934686486
52,Female,MA,18,28,Humanities,167954.65963648554,41,30,136.54850376950043
57,Female,MA,18,33,Engineering,213448.08461314745,51,33,126.82595639521536
29,Female,BA,16,7,Business,114547.14603449497,49,35,66.79133879562389
43,Female,MA,18,19,Business,471130.2293525421,47,34,294.824924500965
28,Female,BA,16,6,Business,105973.8302935878,41,32,80.772736504259
59,Female,BA,16,37,Engineering,229036.64884935296,42,31,175.91140464620042
41,Male,BA,16,19,Business,130429.81619184853,51,32,79.9202305097111
52,Male,BA,16,30,Health,185084.87312639251,48,38,101.47196991578537
54,Female,BA,16,32,Business,166729.8134173649,41,48,84.72043364703501
53,Male,BA,16,31,Social Sciences,142949.17910206472,45,48,66.18017551021515
30,Female,BA,16,8,Social Sciences,190473.72921577946,51,46,81.19084791806456
59,Male,PhD,20,33,Humanities,273691.1306014039,43,47,135.42361731885399
61,Female,BA,16,39,STEM (other),192610.2496499762,46,40,104.67948350542186
48,Male,BA,16,26,Social Sciences,78679.3821058693,45,41,42.644651547896636
53,Female,BA,16,31,Business,160347.27854732922,49,32,102.26229499191915
55,Female,MA,18,31,Engineering,521418.50420951366,48,47,231.12522349712484
59,Male,BA,16,37,STEM (other),174451.4049200949,48,35,103.84012197624696
57,Male,BA,16,35,Engineering,275395.980935199,49,36,156.12017059818538
45,Male,BA,16,23,Business,259155.28592814665,43,30,200.89557048693538
56,Male,BA,16,34,Business,191393.95506252022,40,35,136.70996790180016
47,Male,BA,16,25,Business,133579.69038328182,41,47,69.32002614596877
57,Male,BA,16,35,Business,86198.34875252661,47,42,43.66684333967913
27,Female,BA,16,5,Humanities,105899.83384230887,49,48,45.02543955880479
42,Male,BA,16,20,Engineering,139465.59223190564,47,36,82.42647295029884
49,Female,BA,16,27,Health,175508.9180271097,41,48,89.18136078613298
55,Male,MA,18,31,Engineering,159285.5684281948,43,38,97.48198802215103
27,Female,BA,16,5,Engineering,113032.28194887508,40,32,88.30647027255866
64,Male,BA,16,42,STEM (other),181991.58276951974,46,41,96.49606721607621
48,Female,BA,16,26,Business,188146.85383688926,43,49,89.29608630132381
56,Female,Prof,19,31,Humanities,126620.96101097435,50,47,53.88126000466994
46,Female,BA,16,24,Social Sciences,220460.3820820038,47,37,126.77422776423451
47,Male,BA,16,25,Engineering,158884.3033709666,48,38,87.10762246215275
26,Female,MA,18,2,STEM (other),74254.90847326769,51,42,34.66615708369173
51,Male,BA,16,29,Business,171560.79524766072,48,37,96.59954687368284
26,Male,BA,16,4,Humanities,84179.99582327271,42,39,51.39193884204683
50,Male,BA,16,28,Business,184938.1696245696,44,46,91.37261345087431
41,Male,Prof,19,16,Humanities,223025.12697341866,45,36,137.66983146507326
64,Male,BA,16,42,Engineering,176427.50756578872,45,46,85.23067998347281
57,Female,MA,18,33,Social Sciences,183636.6053222421,49,47,79.7379962319766
33,Male,PhD,20,7,Humanities,91093.76919009075,47,31,62.521461352155626
63,Male,BA,16,41,STEM (other),232714.1256854533,45,32,161.60703172600924
53,Male,BA,16,31,STEM (other),198529.44769672194,45,48,91.91178134107497
50,Female,BA,16,28,Humanities,121005.54885240419,43,30,93.80275104837534
59,Female,BA,16,37,Humanities,78213.50360215723,46,39,43.59727068124706
49,Male,BA,16,27,Business,269931.5422248336,47,43,133.56335587572173
48,Female,Prof,19,23,Business,147900.64513592576,42,42,83.84390313827991
37,Male,MA,18,13,Business,137477.64446883617,46,38,78.64853802564998
31,Male,MA,18,7,Social Sciences,139818.90846542982,42,35,95.11490371797947
60,Male,BA,16,38,Social Sciences,111818.53593180235,47,35,67.9747938795151
44,Female,MA,18,20,Social Sciences,109310.42688220006,40,48,56.93251400114586
25,Female,PhD,20,0,Business,67024.64892970952,40,39,42.964518544685596
32,Male,MA,18,8,Education,145495.30337625326,45,32,101.03840512239809
40,Male,BA,16,18,Business,132196.4200965825,49,47,57.40183243446917
38,Male,MA,18,14,Business,404570.3940842416,48,48,175.59478909906318
36,Female,BA,16,14,Social Sciences,96191.2311594715,51,34,55.47360505159833
47,Female,BA,16,25,Humanities,101576.21607490089,43,40,59.05593957843075
39,Male,BA,16,17,Education,105554.43906592489,45,39,60.144979524743526
52,Male,MA,18,28,Health,211618.49836745538,51,46,90.20396349848907
58,Female,MA,18,34,Business,182652.18562872623,44,33,125.79351627322744
26,Female,BA,16,4,Social Sciences,116319.92688515688,51,47,48.52729532130032
56,Female,BA,16,34,Engineering,147683.01761565945,40,47,78.55479660407418
47,Female,BA,16,25,Social Sciences,102798.13444958164,45,30,76.14676625894937
46,Female,BA,16,24,Social Sciences,89763.66743700653,48,43,43.49014895203805
49,Male,BA,16,27,Engineering,99262.95803946287,51,37,52.60358136696495
46,Male,BA,16,24,Business,145652.55352467016,42,31,111.86832067947017
46,Male,MA,18,22,STEM (other),187082.67422336192,50,48,77.95111425973413
30,Female,BA,16,8,STEM (other),106103.3493277942,42,44,57.415232320234956
39,Male,BA,16,17,Social Sciences,200711.07982322882,41,31,157.91587712291803
61,Male,BA,16,39,Engineering,280915.46391167934,43,33,197.9672050117543
57,Male,Prof,19,32,Business,205902.7201115503,49,30,140.06987762690497
32,Male,MA,18,8,Social Sciences,75616.03675360265,42,48,37.5079547388902
29,Female,MA,18,5,STEM (other),115264.92661653645,51,39,57.95119488010882
63,Male,BA,16,41,Engineering,159764.09210273993,41,30,129.8895057745853
28,Male,BA,16,6,Humanities,73222.6084827761,40,49,37.35847371570209
30,Female,BA,16,8,Engineering,109347.29938639476,42,44,59.17061655107942
56,Male,MA,18,32,STEM (other),181599.88852182802,49,33,112.30667193681387
54,Female,Prof,19,29,Social Sciences,181577.44124803672,45,36,112.08484027656587
59,Female,MA,18,35,Humanities,135176.64321149825,48,36,78.22722408072815
64,Female,Prof,19,39,Business,237969.2523706484,50,47,101.26351164708443
40,Female,MA,18,16,Health,186187.70579610285,44,42,100.7509230498392
37,Male,BA,16,15,Business,111502.96638132657,42,39,68.07262904842892
54,Female,Prof,19,29,Engineering,364659.6011383606,44,37,223.992383991622
43,Male,BA,16,21,STEM (other),128204.4211787556,44,39,74.71120115312098
41,Male,BA,16,19,STEM (other),102545.28817724145,44,43,54.19941235583586
43,Male,BA,16,21,Humanities,142861.8590064962,51,43,65.14448655106986
52,Male,BA,16,30,Health,132558.26447953665,51,49,53.044523601255165
50,Female,BA,16,28,Humanities,151143.86963443583,46,40,82.14340741001948
61,Male,BA,16,39,Engineering,94494.73708132407,44,35,61.36021888397667
50,Female,BA,16,28,Business,267623.5967261586,46,30,193.9301425551874
47,Male,BA,16,25,Business,210383.64467969516,48,48,91.3123457811177
33,Male,BA,16,11,Health,80600.25040495308,44,36,50.883996467773414
36,Female,BA,16,14,Social Sciences,83180.38675040269,41,47,43.16574299450062
